url_length,url_special_characters,url_tag_script,url_tag_iframe,url_attr_src,url_event_onload,url_event_onmouseover,url_cookie,url_number_keywords_param,url_number_domain,html_tag_script,html_tag_iframe,html_tag_meta,html_tag_object,html_tag_embed,html_tag_link,html_tag_svg,html_tag_frame,html_tag_form,html_tag_div,html_tag_style,html_tag_img,html_tag_input,html_tag_textarea,html_attr_action,html_attr_background,html_attr_classid,html_attr_codebase,html_attr_href,html_attr_longdesc,html_attr_profile,html_attr_src,html_attr_usemap,html_attr_http-equiv,html_event_onblur,html_event_onchange,html_event_onclick,html_event_onerror,html_event_onfocus,html_event_onkeydown,html_event_onkeypress,html_event_onkeyup,html_event_onload,html_event_onmousedown,html_event_onmouseout,html_event_onmouseover,html_event_onmouseup,html_event_onsubmit,html_number_keywords_evil,js_file,js_pseudo_protocol,js_dom_location,js_dom_document,js_prop_cookie,js_prop_referrer,js_method_write,js_method_getElementsByTagName,js_method_getElementById,js_method_alert,js_method_eval,js_method_fromCharCode,js_method_confirm,js_min_length,js_min_define_function,js_min_function_calls,js_string_max_length,html_length,Class
98,1,1,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,1,0,1,15,2,0,1,2,0,0,21,0,0,16,0,0,0,0,10,0,0,0,0,0,8,0,8,8,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,13,0,1,275,10712,1
76,1,0,1,1,0,0,0,0,2,1,1,1,0,0,1,0,0,2,15,0,17,5,0,2,5,0,0,31,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1879,2,15,1879,14735,1
81,1,1,0,0,0,0,0,0,1,44,0,4,0,0,4,0,0,0,29,1,19,0,0,0,0,0,0,44,0,0,27,0,2,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,139,15286,1
74,1,1,0,1,0,0,0,0,1,7,0,14,0,0,1,0,0,2,2,1,38,7,0,2,0,0,0,55,0,0,38,0,2,0,0,12,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,1,0,0,1231,29001,1
80,1,0,1,1,0,0,0,0,2,2,3,2,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,7,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,178,1,1,180,10356,1
119,1,1,0,0,0,0,0,0,1,3,0,3,0,0,1,0,0,2,3,0,10,2,0,1,0,0,0,42,0,0,12,0,1,0,1,1,0,0,0,0,0,0,0,6,8,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,199,19126,1
103,1,1,0,0,0,0,1,0,2,15,0,4,0,0,2,0,0,8,95,1,67,36,0,8,0,0,0,100,0,0,74,0,1,0,1,18,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,23,0,1,198,66187,1
126,1,0,1,1,0,0,0,0,2,0,15,1,0,0,0,0,0,0,0,1,45,0,0,0,7,0,0,32,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8560,1
91,1,1,0,0,0,0,0,0,1,8,0,1,0,0,1,0,0,10,44,0,65,48,0,10,9,0,0,64,0,0,77,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,9,0,1,1,6,12,2,4,1,0,2,2,1,0,0,1,0,0,37619,109840,1
111,1,1,0,0,0,0,1,0,2,3,1,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,8,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,22,0,0,83,2897,1
83,1,1,0,0,0,0,1,1,2,11,1,5,0,0,2,0,0,1,24,2,1,1,0,1,0,0,0,43,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,2,1,1,0,0,0,2,0,0,560,8402,1
93,1,1,0,0,0,0,0,0,1,10,0,0,2,2,1,0,0,0,1,1,13,0,0,0,1,2,2,18,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,0,0,9,0,2,1,0,0,0,7,0,0,1909,12820,1
